Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
A,A,Stock,,,,,,,
AAL,AAL,Stock,,,,,,,
AAPL,AAPL,Stock,,,,,,,
ABBV,ABBV,Stock,,,,,,,
ABC,ABC,Stock,,,,,,,
ABMD,ABMD,Stock,,,,,,,
ABT,ABT,Stock,,,,,,,
ACN,ACN,Stock,,,,,,,
ADBE,ADBE,Stock,,,,,,,
ADI,ADI,Stock,,,,,,,
ADM,ADM,Stock,,,,,,,
ADP,ADP,Stock,,,,,,,
ADSK,ADSK,Stock,,,,,,,
AEE,AEE,Stock,,,,,,,
AEP,AEP,Stock,,,,,,,
AES,AES,Stock,,,,,,,
AFL,AFL,Stock,,,,,,,
AIG,AIG,Stock,,,,,,,
AIZ,AIZ,Stock,,,,,,,
AJG,AJG,Stock,,,,,,,
AKAM,AKAM,Stock,,,,,,,
ALB,ALB,Stock,,,,,,,
ALGN,ALGN,Stock,,,,,,,
ALK,ALK,Stock,,,,,,,
ALL,ALL,Stock,,,,,,,
ALLE,ALLE,Stock,,,,,,,
AMAT,AMAT,Stock,,,,,,,
AMCR,AMCR,Stock,,,,,,,
AMD,AMD,Stock,,,,,,,
AME,AME,Stock,,,,,,,
AMGN,AMGN,Stock,,,,,,,
AMP,AMP,Stock,,,,,,,
AMT,AMT,Stock,,,,,,,
AMZN,AMZN,Stock,,,,,,,
ANET,ANET,Stock,,,,,,,
ANSS,ANSS,Stock,,,,,,,
AON,AON,Stock,,,,,,,
AOS,AOS,Stock,,,,,,,
APA,APA,Stock,,,,,,,
APD,APD,Stock,,,,,,,
APH,APH,Stock,,,,,,,
APTV,APTV,Stock,,,,,,,
ARE,ARE,Stock,,,,,,,
ATO,ATO,Stock,,,,,,,
ATVI,ATVI,Stock,,,,,,,
AVB,AVB,Stock,,,,,,,
AVGO,AVGO,Stock,,,,,,,
AVY,AVY,Stock,,,,,,,
AWK,AWK,Stock,,,,,,,
AXP,AXP,Stock,,,,,,,
AZO,AZO,Stock,,,,,,,
BA,BA,Stock,,,,,,,
BAC,BAC,Stock,,,,,,,
BALL,BALL,Stock,,,,,,,
BAX,BAX,Stock,,,,,,,
BBWI,BBWI,Stock,,,,,,,
BBY,BBY,Stock,,,,,,,
BDX,BDX,Stock,,,,,,,
BEN,BEN,Stock,,,,,,,
BF.B,BF.B,Stock,,,,,,,
BIIB,BIIB,Stock,,,,,,,
BIO,BIO,Stock,,,,,,,
BK,BK,Stock,,,,,,,
BKNG,BKNG,Stock,,,,,,,
BKR,BKR,Stock,,,,,,,
BLK,BLK,Stock,,,,,,,
BMY,BMY,Stock,,,,,,,
BR,BR,Stock,,,,,,,
BRK.B,BRK.B,Stock,,,,,,,
BRO,BRO,Stock,,,,,,,
BSX,BSX,Stock,,,,,,,
BWA,BWA,Stock,,,,,,,
BXP,BXP,Stock,,,,,,,
C,C,Stock,,,,,,,
CAG,CAG,Stock,,,,,,,
CAH,CAH,Stock,,,,,,,
CARR,CARR,Stock,,,,,,,
CAT,CAT,Stock,,,,,,,
CB,CB,Stock,,,,,,,
CBOE,CBOE,Stock,,,,,,,
CBRE,CBRE,Stock,,,,,,,
CCI,CCI,Stock,,,,,,,
CCL,CCL,Stock,,,,,,,
CDAY,CDAY,Stock,,,,,,,
CDNS,CDNS,Stock,,,,,,,
CDW,CDW,Stock,,,,,,,
CE,CE,Stock,,,,,,,
CEG,CEG,Stock,,,,,,,
CF,CF,Stock,,,,,,,
CFG,CFG,Stock,,,,,,,
CHD,CHD,Stock,,,,,,,
CHRW,CHRW,Stock,,,,,,,
CHTR,CHTR,Stock,,,,,,,
CI,CI,Stock,,,,,,,
CINF,CINF,Stock,,,,,,,
CL,CL,Stock,,,,,,,
CLX,CLX,Stock,,,,,,,
CMA,CMA,Stock,,,,,,,
CMCSA,CMCSA,Stock,,,,,,,
CME,CME,Stock,,,,,,,
CMG,CMG,Stock,,,,,,,
CMI,CMI,Stock,,,,,,,
CMS,CMS,Stock,,,,,,,
CNC,CNC,Stock,,,,,,,
CNP,CNP,Stock,,,,,,,
COF,COF,Stock,,,,,,,
COO,COO,Stock,,,,,,,
COP,COP,Stock,,,,,,,
COST,COST,Stock,,,,,,,
CPB,CPB,Stock,,,,,,,
CPRT,CPRT,Stock,,,,,,,
CPT,CPT,Stock,,,,,,,
CRL,CRL,Stock,,,,,,,
CRM,CRM,Stock,,,,,,,
CSCO,CSCO,Stock,,,,,,,
CSX,CSX,Stock,,,,,,,
CTAS,CTAS,Stock,,,,,,,
CTLT,CTLT,Stock,,,,,,,
CTRA,CTRA,Stock,,,,,,,
CTSH,CTSH,Stock,,,,,,,
CTVA,CTVA,Stock,,,,,,,
CVS,CVS,Stock,,,,,,,
CVX,CVX,Stock,,,,,,,
CZR,CZR,Stock,,,,,,,
D,D,Stock,,,,,,,
DAL,DAL,Stock,,,,,,,
DD,DD,Stock,,,,,,,
DE,DE,Stock,,,,,,,
DFS,DFS,Stock,,,,,,,
DG,DG,Stock,,,,,,,
DGX,DGX,Stock,,,,,,,
DHI,DHI,Stock,,,,,,,
DHR,DHR,Stock,,,,,,,
DIS,DIS,Stock,,,,,,,
DLR,DLR,Stock,,,,,,,
DLTR,DLTR,Stock,,,,,,,
DOV,DOV,Stock,,,,,,,
DOW,DOW,Stock,,,,,,,
DPZ,DPZ,Stock,,,,,,,
DRI,DRI,Stock,,,,,,,
DTE,DTE,Stock,,,,,,,
DUK,DUK,Stock,,,,,,,
DVA,DVA,Stock,,,,,,,
DVN,DVN,Stock,,,,,,,
DXC,DXC,Stock,,,,,,,
DXCM,DXCM,Stock,,,,,,,
EA,EA,Stock,,,,,,,
EBAY,EBAY,Stock,,,,,,,
ECL,ECL,Stock,,,,,,,
ED,ED,Stock,,,,,,,
EFX,EFX,Stock,,,,,,,
EIX,EIX,Stock,,,,,,,
EL,EL,Stock,,,,,,,
EMN,EMN,Stock,,,,,,,
EMR,EMR,Stock,,,,,,,
ENPH,ENPH,Stock,,,,,,,
EOG,EOG,Stock,,,,,,,
EPAM,EPAM,Stock,,,,,,,
EQIX,EQIX,Stock,,,,,,,
EQR,EQR,Stock,,,,,,,
ES,ES,Stock,,,,,,,
ESS,ESS,Stock,,,,,,,
ETN,ETN,Stock,,,,,,,
ETR,ETR,Stock,,,,,,,
ETSY,ETSY,Stock,,,,,,,
EVRG,EVRG,Stock,,,,,,,
EW,EW,Stock,,,,,,,
EXC,EXC,Stock,,,,,,,
