Symbol,Fund Name,Assets,Stock Price,% Change,Change 1W,Change 1M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y
VOO,Vanguard S&P 500 ETF,826909119301,606.04,0.06%,1.42%,-2.00%,-1.84%,-3.36%,30.19%,61.20%,62.36%,220.16%
IVV,iShares Core S&P 500 ETF,726304714367,662.38,0.08%,1.40%,-1.93%,-1.85%,-3.29%,30.49%,61.16%,62.51%,219.25%
SPY,State Street SPDR S&P 500 ETF,653253345013,659.22,0.04%,1.36%,-1.96%,-1.84%,-3.33%,30.47%,61.10%,62.32%,219.36%
VTI,Vanguard Total Stock Market ETF,566199075760,325.43,0.07%,1.44%,-1.80%,-1.75%,-2.93%,30.97%,60.15%,53.65%,209.46%
VEA,Vanguard FTSE Developed Markets ETF,207035775268,65.09,-0.05%,1.58%,-0.29%,6.39%,4.19%,38.76%,43.59%,30.02%,84.39%
IEFA,iShares Core MSCI EAFE ETF,171321963907,91.75,-0.15%,1.35%,-0.13%,3.10%,2.56%,31.90%,36.59%,25.09%,75.73%
VTV,Vanguard Value ETF,164346643462,197.58,-0.13%,0.70%,-1.22%,5.47%,3.45%,25.90%,42.20%,48.49%,139.96%
IEMG,iShares Core MSCI Emerging Markets ETF,135378709261,70.33,0.27%,0.83%,-0.23%,4.64%,4.63%,39.93%,44.24%,7.21%,72.17%
VXUS,Vanguard Total International Stock ETF,134168589659,78.02,0.06%,1.18%,0.05%,4.28%,3.42%,35.80%,40.88%,22.14%,76.60%
IJH,iShares Core S&P Mid-Cap ETF,107232490496,68.55,0.13%,1.51%,0.48%,4.05%,3.86%,29.63%,40.60%,28.84%,139.13%
VIG,Vanguard Dividend Appreciation ETF,99717248961,216.69,-0.06%,0.76%,-2.18%,-0.50%,-1.41%,22.38%,40.30%,44.65%,166.24%
VO,Vanguard Mid-Cap ETF,93179989596,291.08,-0.10%,1.36%,-1.89%,-1.50%,0.30%,24.24%,40.55%,28.14%,140.72%
IJR,iShares Core S&P Small Cap ETF,93095826709,126.52,0.33%,1.78%,1.39%,5.64%,5.28%,33.70%,34.35%,14.54%,127.49%
RSP,Invesco S&P 500 Equal Weight ETF,85487142956,193.49,-0.22%,0.82%,-2.35%,1.20%,1.01%,23.10%,35.22%,33.84%,147.21%
SCHD,Schwab US Dividend Equity ETF,84817800063,30.56,-0.26%,-0.39%,-1.83%,11.78%,11.41%,20.89%,25.66%,23.93%,127.60%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,80602304753,144.45,0.09%,1.42%,-1.64%,-1.73%,-2.85%,31.04%,60.27%,53.93%,208.62%
