Symbol,Fund Name,Assets,Asset Class,Div. Growth 5Y,Div. Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
VOO,Vanguard S&P 500 ETF,826909119301,Equity,5.76%,6.07%,68.37%,74.17%,11.74%,14.36%
IVV,iShares Core S&P 500 ETF,726304714367,Equity,7.22%,5.41%,68.36%,74.16%,11.74%,14.34%
SPY,State Street SPDR S&P 500 ETF,653253345013,Equity,5.82%,5.49%,68.00%,73.66%,11.67%,14.29%
VTI,Vanguard Total Stock Market ETF,566199075760,Equity,5.92%,6.34%,67.19%,64.79%,10.51%,13.92%
QQQ,Invesco QQQ Trust Series I,375979112450,Equity,9.72%,9.12%,89.58%,83.18%,12.87%,19.24%
VEA,Vanguard FTSE Developed Markets ETF,207035775268,Equity,12.00%,6.01%,58.89%,51.02%,8.60%,9.78%
IEFA,iShares Core MSCI EAFE ETF,171321963907,Equity,13.31%,8.34%,52.25%,45.70%,7.82%,9.25%
VTV,Vanguard Value ETF,164346643462,Equity,5.88%,6.29%,52.93%,67.48%,10.87%,12.05%
VXUS,Vanguard Total International Stock ETF,134168589659,Equity,11.35%,6.14%,55.86%,42.41%,7.33%,9.27%
IJH,iShares Core S&P Mid-Cap ETF,107232490496,Equity,9.60%,7.18%,45.17%,37.42%,6.57%,10.78%
VIG,Vanguard Dividend Appreciation ETF,99717248961,Equity,8.14%,6.91%,48.33%,58.49%,9.65%,12.49%
VO,Vanguard Mid-Cap ETF,93179989596,Equity,8.41%,7.92%,47.70%,39.11%,6.83%,11.04%
XLK,State Street Technology Select Sector SPDR ETF,86268382571,Equity,6.84%,6.52%,88.41%,105.52%,15.50%,21.34%
RSP,Invesco S&P 500 Equal Weight ETF,85487142956,Equity,9.17%,8.50%,42.51%,45.82%,7.84%,11.48%
SCHD,Schwab US Dividend Equity ETF,84817800063,Equity,8.68%,10.43%,40.77%,47.87%,8.14%,12.38%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,80602304753,Equity,5.29%,6.11%,67.06%,64.65%,10.49%,13.87%
EFA,iShares MSCI EAFE ETF,72179822034,Equity,12.57%,6.79%,51.51%,47.53%,8.09%,9.16%
VB,Vanguard Small-Cap ETF,71466458645,Equity,8.57%,6.36%,50.23%,30.95%,5.54%,10.87%
IWD,iShares Russell 1000 Value ETF,70493223943,Equity,6.39%,3.58%,50.58%,54.70%,9.12%,10.66%
VT,Vanguard Total World Stock ETF,63516036836,Equity,9.91%,6.64%,62.32%,55.58%,9.24%,11.87%
VEU,Vanguard FTSE All-World ex-US Index Fund,59654584978,Equity,12.60%,5.63%,56.61%,43.42%,7.48%,9.41%
SCHF,Schwab International Equity ETF,58446470652,Equity,14.08%,8.71%,58.82%,52.02%,8.74%,9.84%
IXUS,iShares Core MSCI Total International Stock ETF,52493087962,Equity,11.95%,7.51%,56.08%,41.68%,7.22%,9.28%
IWR,iShares Russell Midcap ETF,49078307493,Equity,9.12%,5.99%,50.05%,40.09%,6.98%,11.05%
SCHG,Schwab U.S. Large-Cap Growth ETF,48969281019,Equity,9.57%,4.58%,85.80%,79.89%,12.46%,17.17%
XLF,State Street Financial Select Sector SPDR ETF,48713500192,Equity,6.07%,4.79%,64.27%,56.65%,9.39%,12.77%
VV,Vanguard Large-Cap ETF,46002707082,Equity,6.01%,6.21%,69.31%,70.69%,11.29%,14.34%
IWB,iShares Russell 1000 ETF,43049392135,Equity,5.56%,5.06%,67.40%,67.79%,10.91%,14.04%
SMH,VanEck Semiconductor ETF,42706012354,Equity,7.03%,14.39%,217.09%,217.41%,25.99%,31.92%
XLE,State Street Energy Select Sector SPDR ETF,41971515941,Equity,7.43%,4.18%,52.52%,192.42%,23.94%,11.52%
DGRO,iShares Core Dividend Growth ETF,37696853855,Equity,7.09%,8.72%,50.91%,61.15%,10.02%,13.04%
SPDW,State Street SPDR Portfolio Developed World ex-US ETF,36551179395,Equity,11.92%,7.29%,58.77%,49.29%,8.35%,9.70%
VBR,Vanguard Small Cap Value ETF,32747760544,Equity,9.54%,6.26%,50.97%,44.75%,7.68%,10.44%
VGK,Vanguard FTSE Europe ETF,29172350854,Equity,13.77%,4.61%,51.48%,51.48%,8.66%,9.35%
EFV,iShares MSCI EAFE Value ETF,28918235716,Equity,14.42%,6.70%,76.94%,79.18%,12.37%,10.09%
